"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A2030,"Y22,Y23","16 08 02*,07 01 10*","Spent metal oxides/ sulfides (Cu/Zn/Al/Mg), catalysts/ absorbents",H12,14.37,"NL,DK,DE,SE",DK,D10,,Iceland
A1180,"Y31,Y22,Y29",20 01 35*,TV sets and monitors,H11,246.43,"DK,NL",DE,,R5,Iceland
A1160,"Y31,Y34",16 06 01*,Batteries wet filled with sulphuric acid,H8,367.6,DK,NL,,"R13,R4",Iceland
A1170,"Y35,Y31,Y34",20 01 33*,Mixed household batteries,"H4.1,H8",109.34,DK,NL,,"R13,R4",Iceland
,,10 09 11*,Slag from induction furnaces (Iron Oxide),H11,502.23,NL,GB,,"R4,R5",Iceland
A4100,,"10 03 19*,10 03 20,10 03 21*,10 03 22,10 03 23*",Flue-gas dust,,87.0,,DK,D10,,Iceland
,,19 12 10,Combustible waste,H3,1161.0,,NO,,R1,Iceland
,Y32,10 03 21*,Carbon dust,"H11,H12",1625.91,NL,GB,,"R4,R5",Iceland
,,10 03 04*,Aluminum skim and dross,H4.3,1882.94,NL,GB,,R4,Iceland
A1170,"Y23,Y26,Y31",20 01 33*,"Batteries, dry, containing potassium hydroxide solid",H8,141.08,"DK,GB,NL,BE",FR,,R4,Iceland
,"Y41,Y32","14 06 02*,14 06 04*,10 03 23*,15 02 02*",Organic waste containing halogens,"H6.1,H12",23.67,"DK,NL,DE,SE",DK,D10,,Iceland
A4090,Y35,"16 03 05*,16 05 08*",Formaldehyde solution and precipitate,H8,30.05,"DK,NL,DE,SE",DK,D10,,Iceland
A4050,Y33,"16 11 01 *,16 11 03*","Spent pot lining, spent pot lining insulation",H4.3,3720.65,NL,NO,D5,,Iceland
A3150,"Y41,Y45","14 06 01*,16 05 04*",Refrigerant and fire extinguisher gases n.o.s,H12,3.19,"DK,NL,DE,SE",DK,D10,,Iceland
A1010,,10 03 04*,Aluminium re-melting by-products,H4.3,91.85,,GB,,R4,Iceland
,,10 03 04*,Aluminium pot pads,"H11,H12",613.23,NL,GB,,R4,Iceland
,Y18,10 03 08*,Aluminium smelting by-products,H4.3,3055.89,,DE,,R5,Iceland
A1180,"Y22,Y31",,Printed Circuit Board (PCB),H11,5642.3,,KR,D_,R_,Indonesia
A1180,Y_,,Calcium Hydroxide Sludge (SW 427),H13,929.0,,MY,D_,R_,Indonesia
A1050,Y23,,Copper cake,H13,36.0,,JP,D_,R_,Indonesia
,Y_,,Zinc Dust Collector,H_,53.0,,KR,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,312816.0,,JP,D_,R_,Indonesia
,Y19,,Spent DeH-11 Catalyst,H4.1,5.0,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,Printed Circuit Board (PCB),H11,5.0,,KR,D_,R_,Indonesia
,Y19,,Spent DeH-11 Catalyst,H4.1,10800.0,,JP,D_,R_,Indonesia
A1180,Y_,,Calcium Hydroxide Sludge,H13,963.0,,MY,D_,R_,Indonesia
A1050,Y23,,Bag Filter Ash,H13,35.0,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,Printed circuit board (PCB),H11,456.0,,JP,D_,R_,Indonesia
A1050,Y23,,Bag Filter Ash,H13,55.0,,JP,D_,R_,Indonesia
A1050,Y23,,Copper Cake,H13,27.0,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,Used Printed Circuit Boards for Metal Recycling,H11,24.0,,JP,D_,R_,Indonesia
,Y19,,Spent Catalyst,H4.1,18.0,,IT,D_,R_,Indonesia
A1030,Y29,,Elemental Mercury Waste,H6.1,2342.0,,JP,D_,R_,Indonesia
A1030,Y29,,Liquid Waste Contaminated by Mercury,"H6.1,H8,H11",0.262,,JP,D_,R_,Indonesia
A1030,Y29,,Solid Waste Contaminated by Mercury,H6.1,0.169,,JP,D_,R_,Indonesia
,Y20,,Used Catalyst DeH-11,H4.2,54.0,,JP,D_,R_,Indonesia
A1020,Y31,,EAF Dust,H11,21800.0,,KR,D_,R_,Indonesia
A1020,Y31,,EAF Dust,H11,200790.0,,KR,D_,R_,Indonesia
A1020,Y31,,EAF Dust,H11,78980.0,,KR,D_,R_,Indonesia
A1020,Y31,,EAF Dust,H11,89010.0,,KR,D_,R_,Indonesia
A1020,Y31,,EAF Dust,H11,86190.0,,KR,D_,R_,Indonesia
A1020,Y31,,EAF Dust,H11,86478.0,,KR,D_,R_,Indonesia
A1020,Y32,,Mill Scale,H12,25385.0,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,Electronic Waste,H11,1247.0,,SG,D_,R_,Indonesia
A1180,"Y22,Y31",,Electronic Waste,H11,1077.0,,SG,D_,R_,Indonesia
A1180,"Y22,Y31",,Electronic Waste,H11,1480.0,,SG,D_,R_,Indonesia
A1020,Y32,,Mill Scale,H12,34633.0,,VN,D_,R_,Indonesia
,Y_,,Silver Paste,H_,0.55,,JP,D_,R_,Indonesia
,Y_,,Silver Paste,H_,0.22,,JP,D_,R_,Indonesia
,Y20,,Used Catalyst DeH-11,H4.2,10.8,,JP,D_,R_,Indonesia
,Y20,,Used Catalyst DeH-11,H4.2,10.8,,JP,D_,R_,Indonesia
,Y20,,Used Catalyst DeH-11,H4.2,5.4,,JP,D_,R_,Indonesia
A1020,Y32,,Mill Scale,H12,24261.85,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,1343.71,,JP,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,3569.43,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,3215.21,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,2510.81,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,1992.73,,MY,D_,R_,Indonesia
A1030,Y29,,Waste contaminated by mercury,H6.1,46385.0,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,3046.0,,JP,D_,R_,Indonesia
A1030,Y29,,Elemental mercury waste,H6.1,0.084,,JP,D_,R_,Indonesia
A1030,Y29,,Solid waste contaminated by mercury,H6.1,0.052,,JP,D_,R_,Indonesia
A1030,Y29,,Filter waste contaminated by mercury,H6.1,1101.0,,JP,D_,R_,Indonesia
A1030,Y29,,Spent catalyst contaminated by mercury,H6.1,36564.0,,JP,D_,R_,Indonesia
A1180,Y_,,Calcium Hydroxide Sludge (SW 427),H13,963.0,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,3294.46,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,3693.33,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,3501.89,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,3630.86,,MY,D_,R_,Indonesia
,Y_,,Spent Bleaching Earth (SBE),H_,3677.93,,MY,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,1247.06,,SG,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,1976.69,,SG,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,1482.73,,SG,D_,R_,Indonesia
A1180,"Y22,Y31",,Printed Circuit Board (PCB),H11,7096.2,,KR,D_,R_,Indonesia
A1050,Y23,,Zinc Metal,H13,37.78,,JP,D_,R_,Indonesia
,Y_,,Lithium Mettal bateries,H_,4125.68,,CA,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,26033.0,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,0.026,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,0.025,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,0.026,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,0.026,,JP,D_,R_,Indonesia
A1180,"Y22,Y31",,"Electronic waste (PCB, IC Chips, mobile handset components)",H11,0.051,,JP,D_,R_,Indonesia
A4100,Y23,,metal dust,H12,201.3,"ES,GB,NL",DE,,R4,Israel
,Y45,,Halogenated still bottoms and reaction residues,"H4.1,H6.1,H3
",23.05,FR,ES,D10,,Israel
A4020,Y1,,Cytotoxic waste.,H6.1,57.786,,FR,D10,,Israel
A4140,"Y19,Y27,Y29,Y31,Y33,Y37,Y38,Y45",,Off-specification/outdated chemicals,,8.06725,"ES,GB,NL",DE,D10,,Israel
A4100,Y23,,metal dust,H12,1293.08,,KR,,R4,Israel
A4130,"Y2,Y6",,"Waste packages and containers containing Annex I
substances in concentrations sufficient to exhibit Annex III
hazard characteristics",H12,45.828,"IT,ES,GB,NL",DE,,"R3,R4",Israel
A1170,,,"Discarded batteries and accumulators, unsorted","H8,H12",49.731,"ES,GB,NL",DE,,"R4,R12‎",Israel
A4010,Y2,,solid wastes containing dangerous substances,"H4.1,H6.1,H11",63.881,"ES,GB,NL",DE,,R1,Israel
A4070,Y12,,Waste paint and varnish containing organic solvents or other dangerous substances,,385.982,"ES,GB,NL",DE,,R1,Israel
A4160,Y2,,Waste Activated carbon,H4.2,23.687,"ES,GB,NL",DE,,R1,Israel
A3150,"Y2,Y6,Y41",,"Halogenated solvents
solvents","H3,H6.1‎",92.465,"ES,GB,NL",DE,D10,,Israel
,"Y11,Y18",,solid wastes containing dangerous substances,"H4.1,H6.1,H12
",118.025,,ES,,"R12,R1,R13",Israel
A4130,,,"Packages containing small residues of dangerous chemicals or were contaminated by dangerous chemicals, inside or outside",H12,47.687,,ES,,"R12,R1,R13",Israel
A3150,"Y2,Y6,Y41",,"Waste halogenated (up to 15%)
organic solvents","H3,H6.1,H12‎",172.06,"ES,GB,NL",DE,,R1,Israel
,Y6,,solid wastes containing dangerous substances,"H4.1,H6.1,H12
",754.661,"ES,GB,NL",DE,,R1,Israel
A4140,"Y19,Y27,Y29,Y31,Y33,Y37,Y38,Y45",,Off-specification/outdated chemicals,,9.114,"ES,GB,NL",DE,,R1,Israel
A4010,Y2,,solid wastes containing dangerous substances,"H4.1,H6.1,H11",170.36,"ES,GB,NL",DE,,R1,Israel
A4070,Y12,,Waste paint and varnish containing organic solvents or other dangerous substances,,875.39,"ES,GB,NL",DE,,R1,Israel
A1170,,,"Discarded batteries and accumulators, unsorted","H8,H12",38.845,"ES,GB,NL",DE,,"R4,R12‎",Israel
A4100,Y23,,metal dust,H12,1473.04,,KR,,R4,Israel
A4100,Y23,,metal dust,H12,1383.585,,KR,,R4,Israel
A3150,"Y2,Y6,Y41",,"Halogenated solvents
solvents","H3,H6.1‎",41.226,"ES,GB,NL",DE,D10‎,,Israel
A3150,"Y2,Y6,Y41",,"Halogenated solvents
solvents","H3,H6.1‎,H12",20.54,"ES,GB,NL",DE,,R1,Israel
,Y6,,"solid wastes containing dangerous substances -Wastes from the production, formulation and use of organic solvents","H4.1,H6.1,H12
",268.716,"ES,GB,NL",DE,,R1,Israel
A3020,"Y8,Y11,Y17",,oily sludge,H12,79.3,ES,PT,,R1,Israel
,Y18,,contaminated materials,H12,60.3,ES,PT,,R1,Israel
A3140,"Y6,Y42",,non haloganated organic solvents,H3,280.0,,ES,,R1,Israel
A4070,Y12,,paint waste,"H3,H6.1,H12",404.0,,ES,,R1,Israel
A3020,"Y8,Y11,Y17",,oily sludge,H12,119.3,,ES,,R1,Israel
,Y34,,benzoic acids,,554.6,,FR,,R1,Israel
A4160,,,activated carbon,H6.1,232.3,,ES,,R1,Israel
A4130,,,hazardous materials,H12,73.0,,ES,,R1,Israel
,Y34,,benzoic acids,,105.4,,FR,,R1,Israel
A1020,Y31,,Electronic capacitor manufacturer,H13,3.6,,GB,,R4,Israel
A1170,Y26,,Li-ion Li Polymer and NiMH batteries,H12,16.6,,FI,,R4,Israel
A1170,Y26,,Li ion EV  batteries for recycling,H13,4.0,,GR,,R4,Israel
A1020,Y31,,Electronic capacitor manufacturer,H13,24.44,,GB,,R4,Israel
A1020,Y31,,Electronic capacitor manufacturer,H13,0.311,,GB,,R4,Israel
A1020,Y31,,Electronic capacitor manufacturer,H13,25.9,,GB,,R4,Israel
A1020,Y26,,Spent lithium batteries,H12,30.8,,GR,,R4,Israel
A1170,Y26,,Li-ion Li Polymer and NiMH batteries,H12,14.5,,FI,,R4,Israel
A1020,Y31,,Electronic capacitor manufacturer,H13,3.8,,GB,,R4,Israel
,Y18,,sludge containing waste salts,H13,1648.0,"ES,GB,NL",DE,D12,,Israel
A4060,Y9,,Emulsion Oil,H12,447.0,,FR,,"R12,R1",Israel
A4060,Y9,,Sulfur Oil,H12,140.8,,FR,,"R12,R1",Israel
A4060,Y9,,Black Oil,H12,85.6,,FR,,"R12,R1",Israel
A3020,Y8,,used oil filters,,683.6,"GR,IT",ES,,R4,Israel
A1030,Y4,,Salt Mixture ,H13,3441.9,"ES,GB,NL",DE,,R5,Israel
A1030,Y4,,Salt Mixture,H13,15.775,"ES,GB,NL",DE,D12,,Israel
B1120,Y18,,Cuirct boards electronic scrap,H13,100.0,SA,DE,,"R4,R13",Jordan
A4100,Y18,,Electric Arc Furnace Dust,H12,20000.0,,KR,,R4,Jordan
B1010,"Y31,Y34",,used lead acid batteries,"H8,H11",1200.0,,IN,,R4,Jordan
A1160,Y31,"H11, H12","USED LEAD BATTERIES
","H11,H12",30000.0,,KR,,"R4,R5",Kenya
"A1070,A1080",Y23,"H11, H12",ZINC DROSS,"H11,H12",10.0,,BE,D1,R4,Kenya
"A1170,A1180,A1190","Y10,Y22,Y24,Y26,Y29,Y31","H11, H12","USED TELECOMMUNICATION EQUIPMENT(E-WASTE) - PCBAs,MODULES,CABLES,ANTENNAS,BATTERIES
","H11,H12",600.0,,MY,,"R4,R5",Kenya
A1160,Y31,160601*,lead batteries,"H6.1,H8,H11",1818.95,,LT,,"R3,R4,R5,R12,R13",Latvia
A1160,Y31,160601*,lead batteries,H8,3124.67,,EE,,"R4,R12,R13",Latvia
A4060,Y9,"130502*, 130702*, 130402*, 130506*, 130507*, 130403*, 160708*, 130701*",waste oils,H3,1773.58,,EE,,R3,Latvia
A4060,Y9,130208*,other oils,H3,793.56,,LT,,R9,Latvia
A4070,Y12,080111*,waste paint and varnish containing organic solvents or other dangerous substances,H3,60.249,,EE,,"R1,R12",Latvia
A3180,Y10,"160209*, 130301*
",transformers and capacitators containing PCBs,H_,9.357,,EE,"D_,D10,D13",,Latvia
A3150,Y41,070703*,"organic halogenated solvents, washing liquids and mother liquors",H_,58.64,,EE,,R1,Latvia
A4010,"Y2,Y3",180106*,chemicals consisting of or containing dangerous substances,,1.476,,EE,,R1,Latvia
A3020,Y8,130208*,waste mineral oils,"H11,H12",220.15,EE,FI,,R9,Latvia
A4140,"Y2,Y14","160506*, 160305*
",waste laboratory chemicals,"H3,H4.1,H6.1",67.671,,EE,,"R1,R12",Latvia
,Y5,170204*,"glass, plastic and wood containing or contaminated with hazardous substances",H12,34.84,,LT,,"R12,R13",Latvia
,Y44,140601*,"chlorofluorocarbons, HCFC, HFC",H12,0.447,,EE,D10,,Latvia
,Y_,191212,other wastes (including mixtures of materials) from mechanical treatment of wastes other,,402.18,,EE,,"R1,R12",Latvia
,Y_,020304,materials unsuitable for consumption or processing,,278.27,,LT,,R12,Latvia
,Y_,191211*,other wastes (including mixtures of materials) from mechanical treatment of waste containing hazardous substances,,20.1,,EE,,"R1,R12",Latvia
A4010,Y3,,expired pharmaceutical,"H6.1,H11",25.0,,CY,"D8,D9",,Lebanon
A4010,Y3,,expired pharmaceuticals,"H6.1,H11",14.5,,FR,D10,,Lebanon
A4130,Y9,,packaging waste contaminated with hazardous substances,H12,3.48,,CY,,R12,Lebanon
A3180,Y10,,transformers and capacitors contaminated with PCB,H11,308.0,,FR,D10,,Lebanon
A4060,Y8,,oily sludge,H11,20.0,,GR,,"R1,R12",Lebanon
A4060,Y9,,drillings and cuttings contaminated with oils,H12,399.0,,CY,,"R3,R5,R12",Lebanon
A4060,Y9,,cuttings and slops contaminated with oils,H12,1262.0,,CY,,"R3,R5,R12",Lebanon
,Y17,110109,,,19.8,,DE,,R4,Lithuania
A1030,,60404,,,5.46,"PL,CZ,AT",CH,,R4,Lithuania
A3020,,130208,,,866.5,PL,DE,,R9,Lithuania
,Y5,170204,,,79.9,PL,DE,,R1,Lithuania
,"Y12,Y8",150110,,,50.0,,PL,,R1,Lithuania
,Y31,191211,,,97.58,PL,DE,,R4,Lithuania
,Y8,130208,,,655.69,,PL,,R9,Lithuania
,Y8,130310,,,19.94,,PL,,R9,Lithuania
,Y31,160601,,,47.485,LV,EE,,R4,Lithuania
,Y31,191211,,,2412.293,,PL,,R4,Lithuania
,Y12,150111,,,5.0,LV,EE,D10,,Lithuania
,Y31,191211,,,1355.74,PL,CZ,,R4,Lithuania
,Y9,50106,,,75.96,,LV,,R3,Lithuania
,,170204,Wood contained or contaminated with dangerous substances,H_,3269.96,PL,DE,,R1,Lithuania
,Y31,191211,,,384.306,PL,DE,,R4,Lithuania
,"Y12,Y8",150110,,,100.34,,PL,,R1,Lithuania
,Y8,130310,,,189.84,,PL,,R9,Lithuania
,Y9,130208,,,891.63,,PL,,R9,Lithuania
,Y31,191211,,,506.169,,PL,,R4,Lithuania
,Y9,50106,,,18.0,,LV,,R3,Lithuania
,Y45,200123,,,173.1,,LV,,R12,Lithuania
A2030,,160807,,,16.0755,"PL,CZ,SK",IT,,R8,Lithuania
A2030,,160807,,,16.65382,"PL,CZ,SK",IT,,R8,Lithuania
,Y18,140601,,,7.034,,DE,,R3,Lithuania
,Y31,160601,,,247.127,LV,EE,,R4,Lithuania
B3010,,191204,Plastics,H_,190.145,"PL,CZ",AT,,R3,Lithuania
,Y31,160215,,,585.14,PL,DE,,R5,Lithuania
,Y31,160601,,,271.84,LV,EE,,R4,Lithuania
,"Y31,Y34",160601,,,208.566,LV,EE,,R4,Lithuania
,Y31,191211,,,72.952,PL,DE,,R4,Lithuania
,Y31,191211,,,524.937,PL,DE,,R4,Lithuania
,"Y12,Y42,Y6",80312,,,14.737,,LV,,R2,Lithuania
,"Y12,Y42,Y6",90102,,,6.033,,LV,,R2,Lithuania
,"Y12,Y42,Y6",140603,,,3.11,,LV,,R2,Lithuania
,"Y12,Y42,Y6",80312,,,53.19,,LV,,R2,Lithuania
,"Y12,Y42,Y6",90102,,,27.935,,LV,,R2,Lithuania
,"Y12,Y42,Y6",140603,,,18.765,,LV,,R2,Lithuania
Y47,,190113,,,4199.4,,NO,,R5,Lithuania
,Y31,191211,,,1098.332,PL,CZ,,R4,Lithuania
A1020,,191211,,,219.274,PL,CZ,,R4,Lithuania
,Y31,160215,,,118.91,PL,DE,,R5,Lithuania
,Y29,200121,,,0.76,,LV,D5,"R12,R5,R4",Lithuania
,Y31,160601,,,137.006,LV,EE,,R4,Lithuania
A2030,,160802,,,105.894,PL,CZ,,R4,Lithuania
,,170204,railway sleepers,H_,561.28,PL,DE,,R1,Lithuania
,,170204,railway sleepers,H_,649.69,PL,DE,,R1,Lithuania
,,170204,railway sleepers,H_,929.02,PL,DE,,R1,Lithuania
Y47,,190113,,,11800.0,,NO,,R5,Lithuania
,"Y31,Y34",191211,,,2007.11002,PL,CZ,,R4,Lithuania
,"Y31,Y34",191211,,,596.693,PL,CZ,,R4,Lithuania
A1160,,160601,,,71.76,LV,EE,,R4,Lithuania
,Y8,130208,,,95.56,PL,DE,,R9,Lithuania
,Y8,130208,,,656.65,"LV,EE",FI,,R9,Lithuania
,Y29,200121,,,59.85,,LV,,"R12,R4,R5",Lithuania
,Y29,200121,,,95.83,,LV,,"R12,R4,R5",Lithuania
A4140,,191211,,,906.07,"PL,CZ,SK",SI,,R3,Lithuania
,Y22,191211,,,117.103,"PL,CZ,SK",SI,,R3,Lithuania
,Y29,160215,,,29.6,,SE,"D1,D10,D5,D9","R1,R12,R4,R5",Lithuania
A1020,,191211,,,160.28,,LV,,"R12,R13",Lithuania
A4100,Y23,SW 104,Aluminium Dross,,1800.0,,JP,,R4,Malaysia
,Y29,SW103,Lithium Battery,,180.0,,SG,,R4,Malaysia
,Y29,SW103,Lithium Battery,,10.0,,US,,"R13,R4",Malaysia
A1180,"Y22,Y31",SW110,Electronic Waste,,70.0,,JP,,R4,Malaysia
A1180,"Y22,Y31",SW110,Copper Waste and Scrap Kit,,200.0,,US,,R4,Malaysia
A1180,"Y22,Y31",SW110,Electronic Waste,,300.0,"SG,JP",US,,R4,Malaysia
A1180,"Y22,Y31",SW110,Electronic Waste,,500.0,"SG,JP",US,,R4,Malaysia
A1180,"Y22,Y31",SW110,Electronic Waste,,450.0,"PT,ES,EG",BE,,R4,Malaysia
A1180,"Y22,Y31",SW110,Electronic Waste,,90.0,,US,,R4,Malaysia
A1180,"Y22,Y31",SW110,Electronic Waste,,70.0,,US,,R5,Malaysia
A1050,Y17,SW204,Sludge,,160.0,,JP,,R4,Malaysia
A4060,Y9,SW311,Coal Tar,,54000.0,,CN,,R3,Malaysia
A4060,Y9,SW311,Coal Tar,,54000.0,,CN,,R3,Malaysia
A4060,Y9,SW311,Coal Tar,,54000.0,,CN,,R3,Malaysia
A3140,"Y6,Y42",SW322,Waste of Non-halogenated Organic Solvent,,240.0,SG,DE,,R4,Malaysia
A3140,"Y6,Y42",SW322,Waste of Non-halogenated Organic Solvent,,240.0,SG,DE,,R4,Malaysia
A3010,Y12,SW418,HP Scrap Inkjet Cartridges,,500.0,,CA,D13,R13,Malaysia
A3190,,SW501,Dried Silicon Carbide Mixture,,180.0,,JP,,R5,Malaysia
A1160,Y31,(none),Lead Acid Battery Scrap,H11,750.0,,IN,,R4,Maldives
A4110,"Y23,Y31,Y43,Y44",19 01 13*; 19 01 15*,Fly ashes from combustion process or residues from scrubbing treatment/ filter cake from gas treatment & boiler washings,H12,74.74,,ES,D9,,Malta
A4110,"Y23,Y31,Y22",12 01 16*,Grit waste,H12,115.314,PT,ES,D9,,Malta
"A1040,A1020","Y19,Y31,Y21",17 05 03*,Contaminated soils,H12,95.727,PT,ES,D9,,Malta
A3150,Y2,07 07 03*,Halogenated solvents,"H3,H6.1,H12",29.913,ES,PT,,R2,Malta
A4010,Y2,07 07 04*; 16 10 01*,Non-halogenated solvents,"H3,H6.1,H12",122.22116,ES,PT,,R2,Malta
A4010,"Y2,Y3",16 05 06*; 16 05 08*,Laboratory reagents,"H3,H6.1,H8,H12",11.161,ES,PT,D10,,Malta
"A4010,A4020","Y1,Y2,Y3",18 01 03*; 18 01 06*; 18 01 08*,Cytotoxic and cytostatic medicines,"H3,H6.1",45.53764,ES,PT,D10,,Malta
A4010,Y2,07 05 13*,Solid pharmaceutical waste,"H11,H12",38.76,ES,PT,D10,,Malta
Y46,,19 12 12,"Refuse derived fuel, paper and plastic",,962.12,"ES,NL",PT,D1,,Malta
A2050,Y36,17 06 05*,Construction material containing asbestos,H11,81.34,ES,PT,D1,,Malta
A4130,Y18,15 01 10*,Contaminated packaging,H12,55.6,ES,PT,,"R3,R4",Malta
A4010,Y2,07 05 01*; 07 05 03*; 07 05 04*; 07 07 04*,Liquid pharmaceutical waste and other solvents,"H3,H6.1,H12",15.06,ES,PT,,"R12,R1",Malta
Y46,,19 12 12,"Refuse derived fuel, paper and plastic",,6633.171,"ES,NL",PT,D1,,Malta
A1180,Y45,20 01 23*; 16 02 11*,"Discarded equipment containing chlorofluorocarbons. Discarded equipment containing chlorofluorocarbons, HCFC, HFC","H_,H_",234.36,,IT,,R4,Malta
A3140,Y45,16 02 11*; 20 01 23*,Cooling/heating equipment,H12,94.14,,IT,,R4,Malta
A2010,Y31,16 02 15*,Waste from cathode ray tubes,H13,108.72,GB,NL,,"R12,R5",Malta
A4090,Y34,06 01 01*; 06 01 02*; 06 01 03*; 06 01 04*; 06 01 05*; 06 01 06*,Acid waste,"H8,H3",71.809,ES,PT,D9,,Malta
A4070,Y12,08 01 11*; 08 01 13*; 08 03 12*; 08 03 14*,Paint and ink waste,"H3,H12",155.45039,ES,PT,D9,,Malta
A4060,Y9,16 10 03*,Coolant waste,H12,2.167,ES,PT,D9,,Malta
A3150,Y2,07 07 03*,Halogenated solvents,"H_,H_,H_",106.756,"ES,NL",PT,,R2,Malta
A4010,Y2,07 07 04*,"Organic solvents, washing liquids and mother Liquors","H3,H6.1,H12",230.238,ES,PT,,R2,Malta
A1160,Y31,16 06 01*,"Lead acid batteries whole, crushed or drained",H8,22.29,,ES,,"R4,R5,R6",Malta
A2050,Y36,17 06 05*; 17 06 01*,Construction and insulation materials containing asbestos,H11,157.07594,,ES,"D13,D5",,Malta
A4010,Y2,07 05 13*,Solid pharamceutical waste,"H6.1,H12",46.926,,IT,"D13,D14,D10",,Malta
A1120,Y18,17 05 05*,Dredged material,H12,170.518,,ES,D9,,Malta
A1180,Y10,16 02 11*; 20 01 23*; 16 02 13*; 20 01 35*,Refrigerators and water heaters,H12,104.52,,IT,,R4,Malta
A4060,Y9,19 08 13*,Scrubber waste,H8,46.208,ES,PT,D9,,Malta
A4060,"Y8,Y9",16 07 08*,Waste containing oil,H12,367.614,ES,PT,"D9,D1",,Malta
A4010,Y2,07 07 10*,Filter cake and spent absorbents,H4.1,55.449,ES,PT,D9,,Malta
,Y18,15 02 02*,Contaminated rags/filters,H12,69.816,ES,PT,D9,,Malta
A2050,Y36,17 06 05*; 17 06 01*,Construction material containing asbestos and insultation material containing asbestos,H11,116.7,,ES,"D14,D5",,Malta
A4010,"Y2,Y42",07 05 04*,"Organic  solvents, washing liquids and mother liquors waste","H3,H6.1,H12",397.92,"IT,AT",DE,D10,,Malta
,"Y3,Y6,Y12,Y13",19 12 11*,Other waste (including mixtures of materials) from mechanical treatment of waste containing dangerous substances,"H3,H4.1,H6.1",887.08,IT,FR,"D13,D10",,Malta
,Y45,16 02 11*; 20 01 23*,"WEEE containing chlorofluorocarbons (CFC), hydrochlorofluorocarbons (HCFC) and hydrofluorocarbons (HFC)",H12,480.926,,IT,,R4,Malta
A1030,Y29,20 01 21*,Fluorescent tubes and other mercury containing waste,H8,26.121,,IT,,R5,Malta
A1160,Y31,16 06 01*,Batteries wet filled with acid,H8,1088.68,IT,ES,,R4,Malta
Y46,,19 12 12,Waste from mechanical treatment,,9927.075,"ES,NL",PT,D1,,Malta
A4060,Y9,13 07 03*,Waste of liquid fuels (including mixtrues),H3,3923.87,,ES,,R3,Malta
A4010,Y2,07 05 01*; 07 07 01*; 16 10 01*,Liquid pharmaceutical waste,"H3,H6.1,H12",577.72,,ES,D9,,Malta
A4010,Y2,07 07 04*; 07 07 03*; 07 05 04*; 07 05 03*; 14 06 03* 16 03 05*,Liquid pharmaceutical waste and other solvents,"H3,H6.1,H12",660.777,,ES,,R2,Malta
A4110,"Y23,Y31,Y43,Y44",19 01 13*; 19 01 15*,"Fly ashes from combustion process or residues from scrubbing treatment, filter cake from gas treatment and boiler washings",H12,231.568,,ES,D9,,Malta
A4110,"Y23,Y31,Y22",12 01 16*,Grit waste,H12,2906.891,PT,ES,D9,,Malta
A1020,"Y31,Y25,Y26,Y28,Y20",17 05 03*,Contaminated soils,H12,21.998,PT,ES,D9,,Malta
